cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,123,8192,512,ck,12,0,5.2936,a8w8_blockscale_1x128x128_256x32x128x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,194.91,1184.92,0.0
256,120,8192,512,ck,18,0,5.301,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,189.89,1173.71,0.0
256,160,8192,512,ck,13,0,6.1491,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,218.27,1121.74,0.0
256,133,8192,512,ck,13,0,6.1567,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,181.21,1046.25,0.0
256,151,8192,512,ck,13,0,6.1791,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,204.99,1091.68,0.0
256,131,8192,512,ck,13,0,6.1819,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,177.76,1036.52,0.0
256,153,8192,512,ck,13,0,6.1991,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,207.04,1093.61,0.0
256,132,8192,512,ck,13,0,6.2003,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,178.59,1036.17,0.0
256,129,8192,512,ck,13,0,6.2185,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,174.02,1024.99,0.0
256,137,8192,512,ck,13,0,6.2551,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,183.73,1040.6,0.0
